"company","title","location","job_url","job_type","site","date_posted"
"Delivery Hero","Software Engineer II, Golang - (Logistics, Global Service Tech)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=a27064ee91d7bc89","fulltime","indeed","2026-03-30"
"Mama","Senior Full Stack Engineer (Berlin)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=ae7fa4bed3f7821c","fulltime","indeed","2026-03-30"
"moontelecom","System Engineer - Microsoft & Windows (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=a6813a198c21dc6e","parttime, fulltime","indeed","2026-03-30"
"Bundesagentur für Arbeit","Senior Professional System-Engineer (w/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=2b86e63f05c7e843","","indeed","2026-03-29"
"SAP","Working Student (f/m/d) - UX Design","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=c190a3e9672427e8","parttime","indeed","2026-03-29"
"Mindrift","Senior Software Engineer in Test (Full-Stack/Python)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4392337663","","linkedin","2026-03-29"
"Wolt","Software Engineer (Go), Storage Platform","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4391638832","","linkedin","2026-03-29"
"Koro Handels GmbH","DevOps & Infrastructure Engineer (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=140a3e24b8bc1a30","parttime, fulltime","indeed","2026-03-29"
"Koro Handels GmbH","Backend PHP Integrations Engineer (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=d38544abff57e46e","parttime, fulltime","indeed","2026-03-29"
"autarc GmbH","Senior Fullstack Engineer (Services)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=8338cb7cb1700d72","fulltime","indeed","2026-03-29"
"autarc GmbH","Mid / Senior Data Analyst","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=ec0dbe72100d9678","fulltime","indeed","2026-03-29"
"autarc GmbH","Senior iOS Engineer (AI / LiDAR)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=6eb3988400fffab1","fulltime","indeed","2026-03-29"
"autarc GmbH","Founders Associate (Product)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f81d65e4b8133c4f","fulltime","indeed","2026-03-29"
"","Full-stack Developer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f18963cb5dda79a2","fulltime","indeed","2026-03-29"
"Mindrift","Freelance AI Evaluation Engineer (Python/Full-Stack)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4392328965","","linkedin","2026-03-29"
"BAYOONET AG","Softwareentwickler (m/w/d) C# / Web Frontend / mobile Anwendungen","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4392035366","","linkedin","2026-03-28"
"Mercor","Software Engineer | Up to $65/hr Rate","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4391233752","","linkedin","2026-03-28"
"Raisin","RegTech Engineering Lead (f/m/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4364188425","","linkedin","2026-03-28"
"Wire","Senior Software Engineer - Web","Berlin, Germany","https://www.linkedin.com/jobs/view/4355309030","","linkedin","2026-03-28"
"Mercor","Software Interface Specialist Remote $100/hr","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4391235806","","linkedin","2026-03-28"
"YO IT Consulting","DevOps Engineer - Remote","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4391231946","","linkedin","2026-03-28"
"Doctolib","Senior Software Engineer Node.js/TypeScript (x/f/m)","Berlin, Germany","https://www.linkedin.com/jobs/view/4381980186","","linkedin","2026-03-28"
"MEETYOO","IT System Administrator Linux / Windows / AWS (m/f/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4393637455","","linkedin","2026-03-28"
"Amazon Web Services (AWS)","Systems Engineer, Managed Operations","Berlin, Germany","https://www.linkedin.com/jobs/view/4392025493","","linkedin","2026-03-28"
"Amazon Web Services (AWS)","Systems Engineer/DevOps Eng, Managed Operations","Berlin, Germany","https://www.linkedin.com/jobs/view/4365299701","","linkedin","2026-03-28"
"Jobs via eFinancialCareers","IAM System Engineer (m/w/d) - amiconsult","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4392076510","","linkedin","2026-03-28"
"notus","Full Stack Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4393719530","","linkedin","2026-03-28"
"Mercor","Java Software Developer | $110/hr Max","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4391231899","","linkedin","2026-03-28"
"CinePostproduction GmbH","Frontend/Full Stack Web Developer (PHP/Vue.js)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4392320070","","linkedin","2026-03-28"
"Delivery Hero","Manager, Software Engineering, Java/Kotlin -  (Logistics, Workforce)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4381044163","","linkedin","2026-03-28"
"Resourceful Talent Group","Full Stack Engineer (Fintech)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=bb3ed1d98fde6c36","fulltime","indeed","2026-03-27"
"DILAX Intelcom GmbH","Student Assistant Software Testing & Automation (m/f/d)","Berlin-Moabit, BE, DE","https://de.indeed.com/viewjob?jk=52555d411b6c81ea","parttime","indeed","2026-03-27"
"Concentrix","Senior Azure Hybrid Infrastructure Engineer -Azure Local CSA","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=da8fd0a236226173","fulltime","indeed","2026-03-27"
"Concentrix","Infrastructure Automation Engineer (PowerShell, DSC & DevOps)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=cf434cd93294c2bd","fulltime","indeed","2026-03-27"
"Noxtua AG","Senior QA Engineer - Manual Testing | Legal AI Tech | remote","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=8615d3e047e32cfe","fulltime","indeed","2026-03-27"
"Raisin","(Senior) Mobile React Native Engineer - Platform (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=bdbf0c0ec0dc01ed","","indeed","2026-03-27"
"Raisin","Engineering Lead - B2C Experience (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=e77c0e50702342ad","","indeed","2026-03-27"
