"company","title","location","job_url","job_type","site","date_posted"
"Scalable","(Senior) Cloud Site Reliability Engineer (Platform) (m/f/x)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=c2db041af2c4d1e8","fulltime","indeed","2026-05-18"
"Mercanis","Backend Engineer (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=cf8d7c29026eaad5","fulltime","indeed","2026-05-18"
"CRYPTO.com","Blockchain Security AI Application Support Engineer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=c6fd49bf8c2012a8","fulltime","indeed","2026-05-18"
"SAP","Senior Backend Developer - Java/Kotlin at SAP Signavio FIT Collaborators (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=4d9877d84bbd4b77","fulltime","indeed","2026-05-17"
"HelloFresh","Growth Engineer (f/m/x)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4375418170","","linkedin","2026-05-17"
"T-Systems International","Senior System Engineer (GCA) (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4409017812","","linkedin","2026-05-17"
"Mirantus Health","Senior Backend Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4412204924","","linkedin","2026-05-17"
"SAP","Data Science Manager (f/m/d): ABAP Foundation Model","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=b360e8f18ceb82cb","fulltime","indeed","2026-05-16"
"Helsing","Software Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4343854599","","linkedin","2026-05-16"
"Instaffo","DevOps Engineer (w/m/d) - Google Cloud Platform","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4394651784","","linkedin","2026-05-16"
"GE Vernova","Lead AC Protection System Engineer  (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4366625180","","linkedin","2026-05-16"
"Safety io","Full Stack AI Application Developer","Berlin, Germany","https://www.linkedin.com/jobs/view/4404121762","","linkedin","2026-05-16"
"Distribusion Technologies","Senior Python Software Engineer, Demand (all gender)","Berlin, Germany","https://www.linkedin.com/jobs/view/4397301981","","linkedin","2026-05-16"
"Rulemapping","Implementation Engineer (d/w/m)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=d6c52a02ae80ef5a","fulltime","indeed","2026-05-15"
"Rulemapping","Automation Engineer (all levels) (d/w/m)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f7a19f091cd77a1d","fulltime","indeed","2026-05-15"
"mediaire GmbH","Full Stack Developer (all) - React/Python MedTech","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=675c8a010f7ea9c5","fulltime","indeed","2026-05-15"
"SAP","(Senior) DevOps Engineer (f/m/d) for Sovereign Cloud","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=75ce5620d537d367","parttime, fulltime","indeed","2026-05-15"
"GROPYUS","Senior Software Engineer (f/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=c2a908d27a0ee4e6","","indeed","2026-05-15"
"accantec","AI Engineer (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=0acf09cd446fa6bd","fulltime","indeed","2026-05-15"
"Delivery Hero","Intern, Data Analytics (Vendor)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=8bc41a9042a7faca","","indeed","2026-05-15"
"Beam AI","Software Architect (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=2c9685f430e30d37","fulltime","indeed","2026-05-15"
"Tesla","Associate Installer Support Engineer (Dutch Speaking) - (m/w/d) - Fixed Term Contract","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=838fb62f937dda29","fulltime","indeed","2026-05-15"
"Bending Spoons","Graduate software engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4415063509","","linkedin","2026-05-15"
"Bending Spoons","Graduate AI software engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4415068490","","linkedin","2026-05-15"
"GROPYUS","Senior Software Engineer (f/m/d)","Berlin, Germany","https://www.linkedin.com/jobs/view/4415390233","","linkedin","2026-05-15"
"Meyer Sound","Software Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4383503248","","linkedin","2026-05-15"
"SAP","Senior Developer (f/m/d) - Virtualization (C, Linux, x86/ARM)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=7bbf32625cea8438","fulltime","indeed","2026-05-15"
"]init[ AG","Pega Lead System Architect (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=5d7d5805103353e1","parttime, fulltime","indeed","2026-05-15"
"]init[ AG","Senior System Architect PEGA (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=85e31a4db6bf8e9a","parttime, fulltime","indeed","2026-05-15"
"]init[ AG","Senior System Architect PEGA (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=7b47b41b98d7cd93","parttime, fulltime","indeed","2026-05-15"
"]init[ AG","Java Coremedia/Magnolia Developer (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=5642caf9d53e8706","parttime, fulltime","indeed","2026-05-15"
"]init[ AG","Pega Lead System Architect (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=3291ef2ca0fd15bd","parttime, fulltime","indeed","2026-05-15"
"mediaire","Full Stack Developer (all) - React/Python MedTech","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4412005995","","linkedin","2026-05-15"
"]init[ - Services for the eSociety","Low Code Developer (all genders)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4412013049","","linkedin","2026-05-15"
"]init[ - Services for the eSociety","Magnolia Developer (all genders)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4412007174","","linkedin","2026-05-15"
"Tripledot Studios","Senior DevOps Engineer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=4c639d81fb2018bc","","indeed","2026-05-15"
"MOTOR Ai","Senior DevOps Engineer (m/f/d) Hybrid Infrastructure","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4411589735","","linkedin","2026-05-15"
"Sony Interactive Entertainment","Site Reliability Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4412043803","","linkedin","2026-05-15"
"Rulemapping","Legal Engineer (d/w/m)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=31629803cb5cad2a","fulltime","indeed","2026-05-15"
"","Head of Product Growth (Referrals & Viral Loops) at AIOS — Remote, $200k-$400k/yr + 0.15%-0.50%","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=07ae48c8273e5b02","fulltime","indeed","2026-05-15"
"Enfuce","Technical Writer (Contract Role)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=7166f6f006d8eba9","","indeed","2026-05-15"
"Tesla","Mechanical Design Engineer (m/w/d) - Cabin Engineering, Interior Lighting & Switches, Berlin, Germany","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=1162e3b53750ca29","fulltime","indeed","2026-05-15"
"Strava","People Operations Coordinator","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=64f624d0949156c5","parttime","indeed","2026-05-15"
"Noxtua AG","Senior QA Engineer - Manual Testing (f/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=3cad61e6be1f8fdf","fulltime","indeed","2026-05-15"
"EMnify","Engineering Manager - Packet Processing","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=9452b7de09aad924","","indeed","2026-05-15"
"ALTEN","Systemingenieur / Systems Engineer (all gender)","Berlin-Friedrichshain, BE, DE","https://de.indeed.com/viewjob?jk=fa5524f780bae199","","indeed","2026-05-15"
"Tesla","High-Voltage Distribution Test Internship, Powertrain Engineering Europe (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=49d7a97041c4c494","internship","indeed","2026-05-15"
"Tesla","Battery Testing Engineer Internship, Powertrain Engineering Europe (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=a0fe26dd254b3774","internship","indeed","2026-05-15"
"Mistral AI","Systems Engineer, HPC","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4415521415","","linkedin","2026-05-15"
"Noxtua","Senior QA Engineer - Manual Testing (f/m/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4412019193","","linkedin","2026-05-15"
"ALTEN Germany","Systemingenieur / Systems Engineer (all gender) 100","Berlin, Germany","https://www.linkedin.com/jobs/view/4411576855","","linkedin","2026-05-15"
"A11","Junior Backend Entwickler (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=894bc19f3d25fe92","","indeed","2026-05-15"
