"company","title","location","job_url","job_type","site","date_posted"
"Bundesagentur für Arbeit","Senior Professional System-Engineer (w/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=232a7347826e9605","","indeed","2026-04-26"
"Bundesagentur für Arbeit","Senior Professional System-Engineer (w/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f8300d6e031a4c1a","","indeed","2026-04-26"
"BETA Systems Software AG","(Senior) Solution Engineer – Workload Automation ANOW! Suite (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=3c9822ab16158928","fulltime","indeed","2026-04-26"
"DATAGROUP SE","IT-Service Engineer (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=27845c50c605aab6","","indeed","2026-04-26"
"Speechify","Software Engineer, iOS Core Product - Berlin, Germany","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=447e71cb02a13929","","indeed","2026-04-25"
"BWI GmbH","System Engineer - Network Security (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=da91930d81ce1b14","fulltime","indeed","2026-04-25"
"Zalando","Senior Principal Product Manager – Partner Experience & AI Platform (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=000e274ff6199528","fulltime","indeed","2026-04-25"
"Tieto","Lead Data Engineer (m/f/d) - Tieto Tech Consulting","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=bf32594f6004476b","fulltime","indeed","2026-04-25"
"Bending Spoons","Graduate software engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4405738222","","linkedin","2026-04-25"
"Bending Spoons","Graduate AI software engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4405735767","","linkedin","2026-04-25"
"Syntex","Deine Chance: Starte durch als Frontend Webentwickler (m/w/d) – Auch ohne Berufserfahrung!","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=bfd8cabc12be5a73","fulltime","indeed","2026-04-25"
"Helsing","Software Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4343854599","","linkedin","2026-04-25"
"Jobs via eFinancialCareers","Data Engineer (all genders) Berlin - PRODYNA SE","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4406872633","","linkedin","2026-04-25"
"Jobs via eFinancialCareers","Data Engineer (all genders) in Berlin - PRODYNA SE","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4406878568","","linkedin","2026-04-25"
"Andercore","Backend Engineer - FinTech","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4374086294","","linkedin","2026-04-25"
"Civey","Senior Backend Developer (m|w|d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4404165484","","linkedin","2026-04-25"
"Mindrift","Freelance Data Science Engineer (Python & SQL)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4406868482","","linkedin","2026-04-25"
