"company","title","location","job_url","job_type","site","date_posted"
"ABOUT YOU SE & Co. KG","Staff Frontend Engineer - App & Web (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=887fa2374a74b92e","fulltime","indeed","2026-04-13"
"ABOUT YOU SE & Co. KG","Teamlead Engineering - App & Web (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=0dced3a42e95bc8e","fulltime","indeed","2026-04-13"
"Komi Group","System Engineer – Professional Service Nord/Ost (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=8c6ec425a944100e","fulltime","indeed","2026-04-13"
"ABOUT YOU SE & Co. KG","Backend Engineer - Marketing Core Technology (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=1a32756a9a7fc906","fulltime","indeed","2026-04-13"
"VARM","(Senior) Full Stack Engineer @ ClimateTech","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=57d75b158f1c4fc5","fulltime","indeed","2026-04-12"
"Codewerk","Junior Test Automation Engineer (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4400926573","","linkedin","2026-04-11"
"VAARHAFT","Full-time R&D Engineer (f/m/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4399354015","","linkedin","2026-04-11"
"Cresta","Senior Software Engineer, Frontend (Berlin)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4219212379","","linkedin","2026-04-11"
"GKL Marketing-Marktforschung Gmbh & Co. KG","Softwareentwickler*in SQL / C# Berlin","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4399317966","","linkedin","2026-04-11"
"adesso insurance solutions GmbH","DevOps Engineer (all genders)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4302725681","","linkedin","2026-04-11"
"IONOS","Site Reliability Engineer (w/m/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4399330361","","linkedin","2026-04-11"
"BWI GmbH","Associate System Engineer Netzwerk Planung (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4334469146","","linkedin","2026-04-11"
"BWI GmbH","Senior Systems Engineer (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4295966758","","linkedin","2026-04-11"
"BWI GmbH","Senior System Engineer - Active Directory (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4379509321","","linkedin","2026-04-11"
"Distribusion Technologies GmbH","Quality Assurance Analyst (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=ae327dd526703e28","fulltime","indeed","2026-04-10"
"Distribusion Technologies GmbH","Quality Assurance Analyst (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=ad7cd2545f0062d4","fulltime","indeed","2026-04-10"
"Bending Spoons","Graduate software engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4397634486","","linkedin","2026-04-10"
"verkstedt","Mid-Level JavaScript Developer - Web/Mobile (f/m/x)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4398890651","","linkedin","2026-04-10"
"acemate.ai","Software Developer (Working Student)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4399014111","","linkedin","2026-04-10"
"Bending Spoons","Graduate AI software engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4397654094","","linkedin","2026-04-10"
"Apple","Developer Relations, Junior Technology Evangelist (f/m/d)","Berlin, Germany","https://www.linkedin.com/jobs/view/4369106943","","linkedin","2026-04-10"
"GetYourGuide","Associate Software Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4387849297","","linkedin","2026-04-10"
"]init[ AG","Senior TYPO3 Backend Developer (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=5458a5de0b03d443","parttime, fulltime","indeed","2026-04-10"
"]init[ AG","Senior TYPO3 Backend Developer (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=287f373a8fabb8b1","parttime, fulltime","indeed","2026-04-10"
"Tripledot Studios","Senior Game Designer - Lion Studios","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f67c6d63c3568318","","indeed","2026-04-10"
"acemate.ai","Software Developer (Working Student)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=a913eaad4fb306f3","","indeed","2026-04-10"
"acemate.ai","Software Developer (Intern)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=fcde8333d620968e","internship","indeed","2026-04-10"
"acemate.ai","Senior Software Developer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=91773ca093d037f6","","indeed","2026-04-10"
"acemate.ai","Mobile App Developer (React Native)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=46a8a1e4b545e968","","indeed","2026-04-10"
"acemate.ai","Senior Backend Developer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=6f9008843b3197a3","","indeed","2026-04-10"
"ADVOSERVICE GmbH","Software-Developer C#/.NET (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=d9a2f1091f90c2d4","fulltime","indeed","2026-04-10"
"sprylab technologies","SENIOR WEB ENTWICKLER (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=1cc9d97fffba847d","","indeed","2026-04-10"
"Gallup","Senior Software Engineer — Core Services","Berlin, Germany","https://www.linkedin.com/jobs/view/4348171143","","linkedin","2026-04-10"
"Climate Analytics","Senior DevOps Consultant (f/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=61c769528a02c19f","fulltime","indeed","2026-04-10"
"diva-e","Cloud Engineer (All Genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=2b73026414f4d74a","fulltime","indeed","2026-04-10"
"tracebloc","Sr. Backend / DevOps Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4399027794","","linkedin","2026-04-10"
"N26","Site Reliability Engineer - Access Team","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4388128912","","linkedin","2026-04-10"
"HUMANOO","Platform Engineer (SRE) (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4399028762","","linkedin","2026-04-10"
"n8n","Junior Support Engineer (EMEA)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4400623391","","linkedin","2026-04-10"
"GE Vernova","Control System Engineer*in (m/f/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4348483909","","linkedin","2026-04-10"
"BWI GmbH","IT System Engineer - KI-Infrastruktur und Rechenzentrumsbetrieb (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4400560231","","linkedin","2026-04-10"
"BWI GmbH","System Engineer - Enterprise Linux Server (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4400545950","","linkedin","2026-04-10"
"BWI GmbH","System Engineer - Network Automation (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4400554416","","linkedin","2026-04-10"
