"company","title","location","job_url","job_type","site","date_posted"
"Zalando","Senior Product Designer - Maternity Cover (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=71d9533269b5c8e4","fulltime","indeed","2026-04-20"
"Zalando","Senior Backend Engineer - Customer Facing Applications - Lounge by Zalando (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=74cfe3e1981b12be","fulltime","indeed","2026-04-20"
"IBM iX","Lead Android Developer (w/m/x)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=a5e06c52f108385c","fulltime","indeed","2026-04-20"
"Voicemod S.L.","Senior NodeJS Backend Developer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=3a06afe4e9566d2b","fulltime","indeed","2026-04-20"
"HERE Technologies","Product Manager- ADAS & Automotive Simulation","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=da38d4048b8af1c0","fulltime","indeed","2026-04-19"
"CloudFactory","Technical Lead (Go)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=5134f6e659c73000","fulltime","indeed","2026-04-19"
"Speechify","Senior Software Engineer, Core Experiences","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=b701b039721baab8","","indeed","2026-04-19"
"Speechify","Software Engineer, Data Infrastructure & Acquisition","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=0724d124129ff100","","indeed","2026-04-19"
"Speechify","Senior Software Engineer, Windows/Desktop Applications","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=ae48762e1cb8f7ce","","indeed","2026-04-19"
"Tilla","Full Stack Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4368406511","","linkedin","2026-04-19"
"SAP","Development Expert (f/m/d) for ApeiroRA","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=177bd27a07075353","parttime, fulltime","indeed","2026-04-18"
"SAP","Development Expert (f/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=1b603bd6f67066ec","parttime, fulltime","indeed","2026-04-18"
"acemate.ai","Product Engineer / Software Developer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=27803cc435f6146c","","indeed","2026-04-18"
"SAP","Lead Developer - Knowledge Graph & Semantics (f/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=e83e6389432f57a3","parttime, fulltime","indeed","2026-04-18"
"acemate.ai","Product Engineer / Software Developer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4403811540","","linkedin","2026-04-18"
"Capgemini","Senior DevOps Engineer (w/m/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4403817361","","linkedin","2026-04-18"
"Keyrock","SRE - Site Reliability Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4380483869","","linkedin","2026-04-18"
"Doctolib","Senior Software Engineer Node.js/TypeScript (x/f/m)","Berlin, Germany","https://www.linkedin.com/jobs/view/4381980186","","linkedin","2026-04-18"
"Gallmond GmbH","System Engineer (m/w/d) - IT & Cloud-Services","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=d72c4f8925fa5129","","indeed","2026-04-18"
"Amazon Web Services (AWS)","Systems Engineer, Managed Operations","Berlin, Germany","https://www.linkedin.com/jobs/view/4343906573","","linkedin","2026-04-18"
"Stella.Coach","Praktikum Backend Developer (m/w/d) - Schwerpunkt Python / Azure","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4401225074","","linkedin","2026-04-18"
"GLS/NXT","Senior Backend Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4401253076","","linkedin","2026-04-18"
"konfetti","Frontend Developer - Nuxt/Vue (m/f/x) in Berlin","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4403824172","","linkedin","2026-04-18"
"Sonia","Lead Full-Stack Engineer (all) - TypeScript","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4401218403","","linkedin","2026-04-18"
"Almedia","AI Full Stack Engineer","Berlin, Germany","https://www.linkedin.com/jobs/view/4365162691","","linkedin","2026-04-18"
"Intercom","AI Infrastructure Engineer New","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=7bc92251e364044a","","indeed","2026-04-17"
"Rulemapping","Automation Engineer (d/w/m)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=66c3e694cafc8343","fulltime","indeed","2026-04-17"
"Juvigo GmbH","Backend Software Engineer (m/f/x)","Berlin-Kreuzberg, BE, DE","https://de.indeed.com/viewjob?jk=f5420137b572577c","fulltime","indeed","2026-04-17"
"HUMANOO | eTherapists GmbH","Junior QA Engineer (w/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f673956b8cf1219b","fulltime","indeed","2026-04-17"
"Juvigo GmbH","Senior Backend Software Engineer (m/f/x)","Berlin-Kreuzberg, BE, DE","https://de.indeed.com/viewjob?jk=ce1b31f1e0487560","fulltime","indeed","2026-04-17"
"Polyteia","Analytics Engineering Lead (f/m/x)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=1a66c80c574e9387","fulltime","indeed","2026-04-17"
