"company","title","location","job_url","job_type","site","date_posted"
"LiveEO GmbH","Head of Product Design (f/m/x)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=56b0f0b99df994f1","fulltime","indeed","2026-03-15"
"Capgemini","(Junior) Network Engineer (w/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=5291cb4f32ee5508","","indeed","2026-03-15"
"Sonia","Senior Full Stack Engineer (all) - TypeScript","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4383688045","","linkedin","2026-03-15"
"KAYAK","Java Software Engineer K4B","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4359725291","","linkedin","2026-03-15"
"Tieto","Test Automation Engineer (m/f/d) - Tieto Tech Consulting","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=5f7190d2573988c9","fulltime","indeed","2026-03-14"
"Lucanet Group","Senior Business Analyst (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=4f858e2e1e6c57fb","","indeed","2026-03-14"
"Mercor","Software Engineer (AI-Native Platform & Integrations)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4384630050","","linkedin","2026-03-14"
"Superhuman","Software Engineer, Front-End","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4384635364","","linkedin","2026-03-14"
"SAP","Senior Developer (f/m/d) for Sovereign Cloud Onsite project","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=282355654de401f0","parttime, fulltime","indeed","2026-03-14"
"1inch","Senior DevOps Engineer","Berlin, Germany","https://www.linkedin.com/jobs/view/4383146101","","linkedin","2026-03-14"
"SAP","Senior DevOps Engineer (f/m/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4328171813","","linkedin","2026-03-14"
"Enpal","Platform Engineer (f/m/x)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4374694258","","linkedin","2026-03-14"
"sensmore","Robotics Engineer - AI","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=8ab4c4ee6fc9cfb1","fulltime","indeed","2026-03-14"
