"company","title","location","job_url","job_type","site","date_posted"
"Deutsche Bank","Lead QA & Testing Engineer (f/m/x) – Payment Channel Applications","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=9e7be792865ef55b","fulltime","indeed","2026-03-23"
"","Cost Manager","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=0a8a3ad1a6608471","fulltime","indeed","2026-03-23"
"Mercanis","AI (Agentic) Engineer (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=269c7ecdc99c116c","fulltime","indeed","2026-03-22"
"Mercor","Full-Stack Software Developer $110/hr","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4388601998","","linkedin","2026-03-22"
"Medtronic","Principal Sales Analyst – Cardiac Rhythm Management (m/w/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=bf18b96dbcd2a26f","fulltime","indeed","2026-03-22"
"verkstedt","Senior JavaScript Developer (f/m/x)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386608331","","linkedin","2026-03-22"
"DATATRONiQ","(Senior) Developer Fullstack (Typescript / Javascript / Node.js)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386600866","","linkedin","2026-03-22"
"zetcom","Senior Java/Jakarta EE Fullstack Developer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386603497","","linkedin","2026-03-22"
"Mercor","Software Engineer I - Entry-Level","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4385798349","","linkedin","2026-03-21"
"Mercor","Software Engineer I","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386105059","","linkedin","2026-03-21"
"Mercor","Frontend Software Engineer | $80/hr","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4385799292","","linkedin","2026-03-21"
"Bending Spoons","Graduate software engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386176516","","linkedin","2026-03-21"
"AnyTax","Full-Stack Software Engineer (TypeScript)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386160606","","linkedin","2026-03-21"
"Bending Spoons","Graduate AI software engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386187154","","linkedin","2026-03-21"
"Mirantus Health","Junior Software Engineer (Support & Operations)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386161872","","linkedin","2026-03-21"
"Wolt","Software Engineer (Go), Storage Platform","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4388280951","","linkedin","2026-03-21"
"Michael Page","DevOps Engineer (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386150546","","linkedin","2026-03-21"
"Michael Page","DevOps Engineer (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386143855","","linkedin","2026-03-21"
"Amazon Web Services (AWS)","Systems Engineer/DevOps Eng, Managed Operations","Berlin, Germany","https://www.linkedin.com/jobs/view/4362900350","","linkedin","2026-03-21"
"Clera","Founding Full-Stack Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386180572","","linkedin","2026-03-21"
"Mercor","Python Software Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4386104145","","linkedin","2026-03-21"
"Flix SE","Senior Software Engineer (m/f/d) - Station Management & Inventory","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=9f399c3710c47ff6","","indeed","2026-03-20"
"Natuvion GmbH","Senior Go Developer (f/m/d) – Focus on gRPC & Enterprise Applications","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f79d65d2a78741bc","fulltime","indeed","2026-03-20"
"Zalando","Fullstack Software Engineer (Kotlin/Typescript/React) - Transport Planning Optimization (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=45da1f40bd343e4c","fulltime","indeed","2026-03-20"
"Valentum Engineering GmbH","DevOps-Engineer* – Collaboration Platform (Jira / Confluence)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=d7e3c9a876aca08c","","indeed","2026-03-20"
"REPLY","AI / ML ENGINEER (M/W/D) | MACHINE LEARNING & GENAI IN DER PRAXIS","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=d228599967855dee","","indeed","2026-03-20"
"Finanzcheck.de","Senior Frontend Engineer (f/m/d) - Typescript & React","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=53a41da00bf06c56","","indeed","2026-03-20"
"Smava GmbH","Senior Frontend Engineer (f/m/d) - Typescript & React","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=55faf5efe0121d06","","indeed","2026-03-20"
"Flink","Associate Director of Engineering - Revenue Tech (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=9172f0ee21a3a00c","fulltime","indeed","2026-03-20"
"M2. Technology & project Consulting GmbH","(Junior) AI Architect / AI Engineer with a focus on architecture (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=523de35db7bea7db","fulltime","indeed","2026-03-20"
"1KOMMA5˚","Product Manager - Customer Hub (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=edcfe4d5e61bf213","fulltime","indeed","2026-03-20"
"Climate Analytics","Senior DevOps Consultant (f/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=832363968e5d9b0d","fulltime","indeed","2026-03-20"
"Tieto","(Senior) Data Engineer (m/f/d) - Tieto Tech Consulting","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=4935e8e6d65a8913","fulltime","indeed","2026-03-20"
