"company","title","location","job_url","job_type","site","date_posted"
"Delivery Hero","Test Automation Engineer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=c7523d732a140e2b","fulltime","indeed","2026-02-09"
"Deutsche Rentenversicherung","Network Engineer Datacenter (m/w/div)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=158c27d9b0ba8613","parttime, fulltime","indeed","2026-02-09"
"Bundesagentur für Arbeit","Senior Professional System-Engineer (w/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=946f8c338e0b3802","","indeed","2026-02-08"
"Bundesagentur für Arbeit","Specialist System-Engineer (w/m/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=e51bed23d58f6b05","","indeed","2026-02-08"
"KStA Digitale Medien","AI Automation Engineer (m/w/x)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f3e5f07c15d0cbb0","","indeed","2026-02-08"
"Giesecke+Devrient","Quality Engineer Identification Document Business (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=1e816e04e92adc9a","fulltime","indeed","2026-02-08"
"Giesecke+Devrient","Quality Engineer Solution Business (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=3d17ab9beece2aa1","fulltime","indeed","2026-02-08"
"Giesecke+Devrient","Quality Engineer Solution Business (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=c7f62a83f6c15e50","fulltime","indeed","2026-02-08"
"Giesecke+Devrient","Quality Engineer Identification Document Business (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=2ca437ed64a23a56","fulltime","indeed","2026-02-08"
"Nomos","Backend Engineering","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=0dd615501830f944","fulltime","indeed","2026-02-08"
"Nomos","Product Engineering","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=887d43e4d9c0e44f","fulltime","indeed","2026-02-08"
"commercetools","Senior Backend Engineer - Scala","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=2c94c271641867b7","","indeed","2026-02-08"
"DATAGROUP SE","Developer (Backend/Frontend/Fullstack) (all genders)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=cff0c985a8a0a7ce","","indeed","2026-02-08"
"ProvenExpert","Fullstack Developer (m/w/d)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4361726665","","linkedin","2026-02-08"
"SAP","(Expert/Senior) DevOps Engineer - Sovereign Cloud Delivery Germany (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=62286114f6db5e0a","fulltime","indeed","2026-02-07"
"SAP","SAP S/4HANA Engineer (Basis) Specialist - Sovereign Cloud Delivery Germany(m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=475e6e431ffe4917","fulltime","indeed","2026-02-07"
"SAP","SAP S/4HANA Engineer (Basis) Expert - Sovereign Cloud Delivery Germany (m/f/d)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=61835cc07ad0544e","fulltime","indeed","2026-02-07"
"Doodle","IT Operations Engineer, Enterprise Systems (all genders)","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4369851664","","linkedin","2026-02-07"
"SHD System-Haus-Dresden GmbH","IT (Senior) System Engineer (m/w/d) - VMware & vSphere / vCenter","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4369872162","","linkedin","2026-02-07"
"HERE Technologies","Lead Software Engineer- Flutter/iOS","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=4313eac6efb43a6a","fulltime","indeed","2026-02-06"
"wolt","Mobile Android Engineer - Courier Engineering","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=83de3ec55246287e","fulltime","indeed","2026-02-06"
"Heartbeat Medical","Fullstack Engineer III (d/f/m)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=845b605ec03a59e3","parttime, fulltime","indeed","2026-02-06"
"Strava","Senior Applied Machine Learning Engineer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=9e1e99dcfab270c7","fulltime","indeed","2026-02-06"
"Strava","Applied Machine Learning Engineer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=dcdc65da5e1dd0a2","fulltime","indeed","2026-02-06"
"Strava","Senior Product Manager I, Map Platform","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=030769079e551607","fulltime","indeed","2026-02-06"
"Strava","Map Platform Engineer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=afb787a6e3857fcd","fulltime","indeed","2026-02-06"
"Dunia Innovations","ML Engineer, Agents & Reasoning","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=494ae408cd21bc4a","fulltime","indeed","2026-02-06"
"PlayStation","Senior Service Reliability Engineer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=c78d586ec4a511f5","","indeed","2026-02-06"
"PlayStation","Site Reliability Engineer","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f0f3625a8ebb419e","","indeed","2026-02-06"
"MOIA","Senior Embedded Engineer (all genders) - Vehicle Foundation","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=f84f1e3f637b3d1a","","indeed","2026-02-06"
"Delivery Hero","Engineer II, Kotlin/Java - (Logistics Optimisation, Routing Infrastructure)","Berlin, BE, DE","https://de.indeed.com/viewjob?jk=e6a010e3a711f803","fulltime","indeed","2026-02-06"
"Frisbii","Front End / Full Stack Engineer","Berlin, Berlin, Germany","https://www.linkedin.com/jobs/view/4369785370","","linkedin","2026-02-06"
